key	EN	中文
QuestLoc_CrimeSceneInvestigation_QuestLongDescription	Huzzah! We now have a truce with War until the other Horsemen are dealt with! To that end, War claims that the servants of Death attacked Vault 672. So we're off to investigate and look for any clues they may have left behind...	好哇！我们现在正和“战争”处在休战状态，直到其他“骑士”被处理好为止！为此，“战争”声称，“死亡”的仆人们正攻击672号避难所。所以我们要调查并寻找他们可能留下的线索……
QuestLoc_CrimeSceneInvestigation_QuestName	Crime Scene Investigation	犯罪现场调查
QuestLoc_CrimeSceneInvestigation_QuestObjective_1	Search for clues about Death.	寻找“死亡”有关线索。
QuestLoc_CrimeSceneInvestigation_QuestShortDescription	Search for clues about Death in Vault 672.	在672号避难所中寻找“死亡”的线索。
QuestLoc_CrossingPaths_Conversation_1_NPCEnd_1	That's too bad. Well, at least let me reward you for your trouble.	太糟了。不过，至少让我对你们的遭遇有所补偿吧。
QuestLoc_CrossingPaths_Conversation_1_NPCEnd_2	Suit yourself. Well, at least let me reward you for your trouble.	随便你吧。不过，至少让我对你们的遭遇有所补偿吧。
QuestLoc_CrossingPaths_Conversation_1_NPCEnd_3	You could have fooled me. Well, at least let me reward you for your trouble.	你本来可以骗过我的。不过，至少让我对你们的遭遇有所补偿吧。
QuestLoc_CrossingPaths_Conversation_1_NPCEnd_4	Sorry you feel that way. Well, at least let me reward you for your trouble.	抱歉你会那么觉得。不过，至少让我对你们的遭遇做点补偿。
QuestLoc_CrossingPaths_Conversation_1_NPCStart_1	That was a fine piece of work, civilian.	那活儿干得不错，平民。
QuestLoc_CrossingPaths_Conversation_1_NPCStart_2	You ever think about joining the Brotherhood of Steel?	你有想过加入钢铁兄弟会吗？
QuestLoc_CrossingPaths_Conversation_1_Team_1	Maybe one day, but I don't think I'm ready yet.	也许有一天吧，但我觉得自己还没准备好。
QuestLoc_CrossingPaths_Conversation_1_Team_2	Heck no! I'd rather stay in my Vault.	才不要呢，我宁愿待在自己的避难所里。
QuestLoc_CrossingPaths_Conversation_1_Team_3	I was never cut out to be a soldier.	我从来就不是当士兵的料。
QuestLoc_CrossingPaths_Conversation_1_Team_4	No way! Soldiers caused this mess in the first place.	没门！最初的混乱就是那些士兵造成的。
QuestLoc_CrossingPaths_QuestLongDescription	Star-Paladin Cross was collecting technology from a Super-Duper Mart when he was accosted by a Deathclaw. Lend him a hand.	星骑士克罗丝正在大无敌超市收集相关技术，但不幸被死爪盯上了，快帮帮他。
QuestLoc_CrossingPaths_QuestName	Crossing Paths	十字路口
QuestLoc_CrossingPaths_QuestObjective_1	Provide fire support for Star-Paladin Cross.	为星骑士克罗丝提供火力支援。
QuestLoc_CrossingPaths_QuestShortDescription	Provide fire support for Star-Paladin Cross.	为星骑士克罗丝提供火力支援。
QuestLoc_DartofHarkness_Conversation_1_NPCEnd_1	And throw away all those Caps? I don't think so!	扔掉那些瓶盖么？我不要！
QuestLoc_DartofHarkness_Conversation_1_NPCEnd_2	Okay, now that's just offensive.	好吧，真是冒犯。
QuestLoc_DartofHarkness_Conversation_1_NPCEnd_3	It won't? We thought that was the whole point. Well, the heck with this then!	不会吗？我们还以为那个就是关键呢。好吧，这就见鬼了！
QuestLoc_DartofHarkness_Conversation_1_NPCStart_1	You shouldn't be here, smoothskin!	你们不应该在这里的，“光滑皮肤”！
QuestLoc_DartofHarkness_Conversation_1_NPCStart_2	The security honcho is ours. We were paid a handsome sum for his head!	那个安保老板是我们的。有人付了一笔漂亮的钱给我们来取他的脑袋！
QuestLoc_DartofHarkness_Conversation_1_Team_1	Harkness is a friend of our Vault. I suggest you leave now.	哈克尼斯是我们避难所的朋友。我建议你现在就走。
QuestLoc_DartofHarkness_Conversation_1_Team_2	Prepare to die, zombie scum!	准备受死吧，僵尸败类！
QuestLoc_DartofHarkness_Conversation_1_Team_3	You know a “handsome sum” won't actually make you handsome, right?	你知道一个“漂亮的钱”实际上不会使你漂亮，对吧？
QuestLoc_DartofHarkness_Conversation_2_NPCEnd_1	You can have this weapon. I call it “Dart,” because it always hits the  bullseye.	你们可以拥有这个武器。我叫它“飞镖”，因为它总是击中靶心。
QuestLoc_DartofHarkness_Conversation_2_NPCEnd_2	Use this weapon! I call it the “Dart.” Don't ask.	拿着这个武器！我叫它“飞镖”，别问为什么。
QuestLoc_DartofHarkness_Conversation_2_NPCEnd_3	I'm not a big shot, just a guy doing his job. Here, this is for you.	我不是一个大人物，只是一个家伙在做他的工作。拿着，这是给你的。
QuestLoc_DartofHarkness_Conversation_2_NPCStart_1	Finally, you're here. I was beginning to worry.	终于，你在这里。我开始担心。
QuestLoc_DartofHarkness_Conversation_2_NPCStart_2	The Ghouls were hot on my trail. I believe they were sent to kill me.	尸鬼很狂热地追踪我。我相信他们是被派来杀我的。
QuestLoc_DartofHarkness_Conversation_2_NPCStart_3	They were probably hired by those who want to destroy your Vault.	他们可能是被那些想摧毁你们避难所的人雇来的。
QuestLoc_DartofHarkness_Conversation_2_NPCStart_4	Here, take these documents to your Overseer. They'll know what to do.	这里，把这些文件带给你们的监督者。他（她）会知道该怎么做。
QuestLoc_DartofHarkness_Conversation_2_Team_1	Great. Anything else?	太棒了。还有别的吗？
QuestLoc_DartofHarkness_Conversation_2_Team_2	What if the Ghouls follow me back to the Vault?	如果尸鬼跟着我回避难所怎么办？
QuestLoc_DartofHarkness_Conversation_2_Team_3	So, how come a big shot like you got owned by a bunch of Ghouls?	那么，像你这样的大人物怎么会被一群尸鬼打得满地找牙？
QuestLoc_DartofHarkness_QuestLongDescription	We've received a transmission from Harkness, Rivet City's chief of security, about important information he wants to give us in person. Put on your best clothes and meet him at the abandoned Super-Duper Mart north of the Vault.	我们从铆钉城安保长官哈克尼斯那里收到一条讯息，他要亲自给我们传达一些重要信息。穿上你最好的衣服，在避难所北边被遗弃的大无敌超市见见他。
QuestLoc_DartofHarkness_QuestName	Dart of Harkness	哈克尼斯的飞镖
QuestLoc_DartofHarkness_QuestObjective_1	Talk to Harkness.	和哈克尼斯说话。
QuestLoc_DartofHarkness_QuestShortDescription	Meet with security chief Harkness.	会见安保长官哈克尼斯。
QuestLoc_DartofHarkness_RaiderLine_1	Cleanup in aisle one.	清理一号通道。
QuestLoc_DartofHarkness_RaiderLine_2	Can I talk to the manager?	我能和经理谈一下吗？
QuestLoc_DaysGoneBye_Conversation_1_NPCEnd_1	Hmm, maybe you could scare them away with Ghost Costumes from the old costume factory nearby!	恩，也许你们可以扮鬼把他们从附近旧的服装厂吓跑！
QuestLoc_DaysGoneBye_Conversation_1_NPCStart_1	Wow, I'm glad you're here. Those Raiders almost got me!	哇，我真高兴你们在这。那些掠夺者差点就抓到我了！
QuestLoc_DaysGoneBye_Conversation_1_NPCStart_2	They're after anyone who gets near Vault 31.	任何靠近31号避难所的人，都会被他们追杀。
QuestLoc_DaysGoneBye_Conversation_1_NPCStart_3	It's not really haunted. I think they started that story to keep people away.	我没有真的觉得闹鬼，我想他们编出那个故事只是为了把人们吓跑。
QuestLoc_DaysGoneBye_Conversation_1_Team_1	Then it's time to turn the tables on those Raiders.	所以现在该和那些掠夺者对峙一下了。
QuestLoc_DaysGoneBye_QuestLongDescription	Herb Vest told me that people who go to Vault 31 end up missing. I'm going to head to Vault-Tec's offices to learn more about the Vault's past.	赫伯韦斯特告诉我所有那些去了31号避难所的人最后都失踪了。我正要去避难所科技的总部调查一下这个避难所的过去。
QuestLoc_DaysGoneBye_QuestName	Days Gone Bye	曾经的日子
QuestLoc_DaysGoneBye_QuestObjective_1	Track down information about Vault 31's past.	查找关于31号避难所历史的信息。
QuestLoc_DaysGoneBye_QuestShortDescription	Search the Vault-Tec offices for information about Vault 31.	搜索避难所科技的办公室来查找31号避难所的信息。
QuestLoc_DearthOfClaws_Conversation01_NPC01	Oh! Easy there! The other specimens have resisted my treatments.	哦！别紧张！其他样本都抵御了我的改造。
QuestLoc_DearthOfClaws_Conversation01_NPC02	These two individuals have shown some sign of potential for social serenity.	这两个个体表现出了一定程度的冷静和社会性。
QuestLoc_DearthOfClaws_Conversation01_NPC03	Please, lower your arms, you have nothing to fear from them!	请放下武器，你们不用害怕他们！
QuestLoc_DearthOfClaws_Conversation01_NPC04	No! My babies!	不！我的孩子们！
QuestLoc_DearthOfClaws_Conversation01_NPC05	They are! And I hope to convert more to such behaviour. Please see yourselves out, I have much more work to do!	没错！我希望更多的死爪能变成这样。快走吧，我还有很多工作要做！
QuestLoc_DearthOfClaws_Conversation01_NPC07	Of course! My chance of survival would be utterly infinitesimal! But I trust science! And my two friends here.	当然怕！在它们的爪子下，我的生存机会微乎其微！但我相信科学！我还有两个朋友呢。
QuestLoc_DearthOfClaws_Conversation01_PC01	You can't tame a deathclaw. Get out of the way, we'll take care of them.	死爪是没法驯服的。让开，我们会处理它们。
QuestLoc_DearthOfClaws_Conversation01_PC02	Wow. They really are just kinda chilling out!	哇，他们真的相当放松！
QuestLoc_DearthOfClaws_Conversation01_PC03	Aren't you afraid they might turn on you?	你不怕它们会攻击你吗？
QuestLoc_DearthOfClaws_Conversation01_PC04	Well, ok then. You seem ok, so we're going to go. Good luck!	好吧，你看起来状态还不错。那我们走了，祝你好运！
QuestLoc_DearthOfClaws_QuestLongDescription	"Some of our foragers talked to a traveller recently who claimed he was looking for a colony of death claws in the area on which he planned to conduct ""social experiments."" They're worried he might be just taking a circuitous rout to getting himself eaten. Go to this area nearby where Deathclaws are known to gather and see if you can save the poor fool from himself. "	我们的几个采集者最近和一个旅行者聊天，他说他正在该地区寻找死爪聚集地，还计划在那里进行“社会实验”。他们担心他可能会自讨苦吃。去附近这个死爪聚集地，看看能不能救救这个可怜的家伙。
QuestLoc_DearthOfClaws_QuestName	A Dearth of Claws	缺爪之痛
QuestLoc_DearthOfClaws_QuestObjective	Find the deathclaw scientist.	找到死爪科学家。
QuestLoc_DearthOfClaws_QuestShortDescription	Find the would-be deathclaw scientist.	找到那个想研究死爪的科学家。
QuestLoc_DeathRevealed_Conversation_1_NPCStart_1	Hmm, where's the Overseer?	嗯，监督者在哪里？
QuestLoc_DeathRevealed_Conversation_1_NPCStart_2	She must be waiting for us on one of the upper floors.	她一定在楼上的某个地方等我们。
QuestLoc_DeathRevealed_Conversation_2_NPCStart_1	Listen! Three Dog's on the air.	听！三狗正在直播。
QuestLoc_DeathRevealed_Conversation_2_NPCStart_2	He's telling everyone where all the cults are so Settlers can steer clear of them!	他正在告诉大家各个邪教都在什么地方，这样能方便居民们避开他们！
QuestLoc_DeathRevealed_Conversation_2_NPCStart_3	Keep fighting the Good Fight, Three Dog.	继续打好仗，三狗。
QuestLoc_DeathRevealed_Conversation_2_NPCStart_4	But it won't matter if we can't stop the Horsemen. Let's find this Overseer!	但如果我们不能阻止骑士的话就没所谓了。我们去找监督者吧！
QuestLoc_DeathRevealed_Conversation_3_NPCEnd_1	We are Death's wake-up call!	我们是“死亡”的警钟！
QuestLoc_DeathRevealed_Conversation_3_NPCEnd_2	We are Death's wake-up call!	我们是“死亡”的警钟！
QuestLoc_DeathRevealed_Conversation_3_NPCEnd_3	We are Death's wake-up call!	我们是“死亡”的警钟！
QuestLoc_DeathRevealed_Conversation_3_NPCEnd_4	No, not at all. I was going to say... uh... oh, whatever. We are Death's wake-up call!	不，一点都不。我正要说……呃……哦，无所谓了。我们是“死亡”的警钟！
QuestLoc_DeathRevealed_Conversation_3_NPCStart_1	The shadow of Death, as defined in Article 8, Subsection c, is upon you!	死亡的阴影，如第8条第c款所定义的，就在你身上！
QuestLoc_DeathRevealed_Conversation_3_NPCStart_2	Death will awaken when the quota is met. It's all there in the Manual.	当配额满足时“死亡”就会苏醒。手册里都写了。
QuestLoc_DeathRevealed_Conversation_3_NPCStart_3	So we spill your blood today not out of malice, but to help meet that quota.	所以我们今天让你们流血不是出于恶意，而是为了帮助你达到这个配额。
QuestLoc_DeathRevealed_Conversation_3_NPCStart_4	We hope your final moments meet the Manual's minimum happiness requirements.	我们希望您最后的时刻幸福度能满足手册的最低要求。
QuestLoc_DeathRevealed_Conversation_3_Team_1	The Death cultitsts are Dwellers from Vault 144? I did not see that coming.	“死亡”教徒是来自144号避难所的居民吗？这我还真没料到。
QuestLoc_DeathRevealed_Conversation_3_Team_2	Can you at least tell us where Death is first? You know we'll find out eventually.	你能至少告诉我们“死亡”在哪里吗？你知道我们最终会发现的。
QuestLoc_DeathRevealed_Conversation_3_Team_3	So Death is sleeping and you're killing people to wake him up. That isn't insane at all.	所以“死亡”正在睡觉，你杀了人来叫醒他。这一点都不疯狂。
QuestLoc_DeathRevealed_Conversation_3_Team_4	You're about to shout out your cult motto, aren't you?	你要喊出你的邪教座右铭，是不是？
QuestLoc_DeathRevealed_QuestLongDescription	In Vault 672, we met Dwellers from Vault 144 who are familiar with Death, the mysterious fourth Horseman. As promised, their Overseer contacted us and set up a meeting where she'll tell us what she can! But she doesn't want to reveal the location of her Vault, so we'll be joining her in an abandoned building...	我们遇到了来自144号避难所、熟悉“死亡”的居民……她会把她知道的一切告诉我们！
QuestLoc_DeathRevealed_QuestName	Death Revealed?	“死亡”出现？
QuestLoc_DeathRevealed_QuestObjective_1	Talk to the Overseer of Vault 144.	跟144号避难所的监督者交谈。
QuestLoc_DeathRevealed_QuestObjective_2	Listen to Three Dog's broadcast.	听三狗的广播。
QuestLoc_DeathRevealed_QuestShortDescription	Learn the truth about Death from the Overseer of Vault 144!	从144号避难所的监督者处了解“死亡”的真相！
QuestLoc_DeathandDenial_Conversation_1_NPCStart_1	Strange, it was sunny before we walked in...	奇怪的是，在我们走进去之前，天是晴朗的……
QuestLoc_DeathandDenial_Conversation_1_NPCStart_2	...and now it's dark outside, with rolling thunder in the distance.	……现在外面很黑，远处雷声隆隆。
QuestLoc_DeathandDenial_Conversation_1_NPCStart_3	Very ominous.	很不祥。
QuestLoc_DeathandDenial_Conversation_2_NPCEnd_1	Okay, but just so you know, we tend to use metric around here.	好的，不过提醒你，我们这儿一般用公制。
QuestLoc_DeathandDenial_Conversation_2_NPCEnd_2	Eating Cram in the boudoir. I still have the tins if you want to see them.	在闺房里吃东西。如果你想看罐头，我还有。
QuestLoc_DeathandDenial_Conversation_2_NPCEnd_3	No sir, I don't think so.	不，先生，我不这么认为。
QuestLoc_DeathandDenial_Conversation_2_NPCStart_1	I say, we were beginning to worry! I'm Reginald, the head butler.	我是雷金纳德，首席管家。
QuestLoc_DeathandDenial_Conversation_2_NPCStart_2	It happened right after the host and guests had retired for the night.	此事发生在主人和客人们各自回房就寝之后。
QuestLoc_DeathandDenial_Conversation_2_NPCStart_3	They're waiting for you to question them in the adjacent chambers.	他们在等着你在隔壁房间审问他们。
QuestLoc_DeathandDenial_Conversation_2_Team_1	The game is afoot! Let's proceed!	游戏正在进行中！让我们继续！
QuestLoc_DeathandDenial_Conversation_2_Team_2	Not so fast. Where were *you* on the night of the murder?	没有那么快。谋杀案发生的那天晚上你在哪里？
QuestLoc_DeathandDenial_Conversation_2_Team_3	Reginald, Reginald... Dutch, is it?	雷金纳德，雷金纳德……荷兰人，是吗？
QuestLoc_DeathandDenial_Conversation_3_NPCEnd_1	We mostly just collect old junk and resell it... but we're very industrious about it!	我们通常只是收集旧的垃圾然后转卖……但是我们对此非常勤奋！
QuestLoc_DeathandDenial_Conversation_3_NPCEnd_2	Coincidentally enough, trying to find clever ways to murder Mr. Peabody.	很巧的是，他想找到谋杀皮博迪先生的好办法。
QuestLoc_DeathandDenial_Conversation_3_NPCEnd_3	Don't get any funny ideas! It's bad enough Peabody tried to seduce my wife...	不要有任何可笑的想法！皮博迪想勾引我妻子已经够糟的了……
QuestLoc_DeathandDenial_Conversation_3_NPCStart_1	You can't keep us cooped up in here, you know? We have rights!	你不能把我们关在这里，知道吗？我们有个人权利！
QuestLoc_DeathandDenial_Conversation_3_NPCStart_2	I'm Rod Murphy, rich but vulgar industrialist, and this is my trophy wife Priscilla.	我是罗德·墨菲，富有但粗俗的实业家，这是我的妻子普莉希拉。
QuestLoc_DeathandDenial_Conversation_3_NPCStart_3	We haven't done anything wrong. We certainly didn't *kill* anyone!	我们没做错什么。我们当然没有杀任何人！
QuestLoc_DeathandDenial_Conversation_3_NPCStart_4	Not since we got here, anyway...	我们当然没杀任何人！反正自从我们来到这里就没杀过人……
QuestLoc_DeathandDenial_Conversation_3_Team_1	An industrialist? In this day and age?	一个实业家吗？在这个时代？
QuestLoc_DeathandDenial_Conversation_3_Team_2	What were you doing when Mr. Peabody was murdered?	皮博迪先生被谋杀时你在干什么？
QuestLoc_DeathandDenial_Conversation_3_Team_3	I had a cat named Priscilla, once.	我曾经养过一只叫普莉希拉的猫。
QuestLoc_DeathandDenial_Conversation_4_NPCEnd_1	Got her son addicted to Rock-papers-scissors, then sucked him dry by always picking Rock.	她让儿子迷上了剪刀石头布，然后总是出石头让他一败涂地。
QuestLoc_DeathandDenial_Conversation_4_NPCEnd_2	Oh, she's not a Ghoul, she's just very, very old.	哦，她不是尸鬼，她只是非常非常老了。
QuestLoc_DeathandDenial_Conversation_4_NPCEnd_3	Resuscitating Lady Worthington after she tried to nibble on a blueberry scone.	沃辛顿夫人试图咬一口蓝莓烤饼后苏醒过来。
QuestLoc_DeathandDenial_Conversation_4_NPCStart_1	Hello! This is Lady Elizabeth Worthington, and I'm her attendant Agatha.	你好！这是伊丽莎白·沃辛顿夫人，我是她的侍从阿加莎。
QuestLoc_DeathandDenial_Conversation_4_NPCStart_2	Alas, the Lady can't hear too well, so you'll have to direct your questions to me.	唉，那位女士听不太清楚，所以你得直接问我。
QuestLoc_DeathandDenial_Conversation_4_NPCStart_3	The Lady deeply respects Mr. Peabody, whom she's known for years.	这位女士非常尊敬皮博迪先生，她认识他很多年了。
QuestLoc_DeathandDenial_Conversation_4_NPCStart_4	She won't even hold a grudge for the fact he basically ruined her family.	她甚至不会怨恨他毁了她的家庭。
QuestLoc_DeathandDenial_Conversation_4_Team_1	How did he ruin her family?	他怎么毁了她的家庭？
QuestLoc_DeathandDenial_Conversation_4_Team_2	Was that before or after she was Ghoulified?	那是在她变成尸鬼之前还是之后？
QuestLoc_DeathandDenial_Conversation_4_Team_3	What were you doing at the time of the murder?	谋杀案发生时你在干什么？
QuestLoc_DeathandDenial_Conversation_5_NPCEnd_1	I guess it would depend on how much suffering he'd go through first.	我想这要看他先受了多少苦。
QuestLoc_DeathandDenial_Conversation_5_NPCEnd_2	Sixty-four times, if I recall correctly.	64次，如果我没记错的话。
QuestLoc_DeathandDenial_Conversation_5_NPCEnd_3	I'm sorry, my niece has a poor memory. I'm sure she can't recall what happened last night.	对不起，我侄女记性不好。我肯定她记不起昨晚发生的事了。
QuestLoc_DeathandDenial_Conversation_5_NPCStart_1	Ah, the detective! I am Commodore Tramiel, and this is my niece Vicky.	啊，侦探！我是特拉米尔准将，这是我侄女维琪。
QuestLoc_DeathandDenial_Conversation_5_NPCStart_2	So someone finally did old Peabody in, huh? Well, can't say I'm surprised.	终于有人把皮博迪干掉了？我一点不惊讶。
QuestLoc_DeathandDenial_Conversation_5_NPCStart_3	The man had lots of enemies! More crooked than a Turkish blade, he was.	这个人有很多敌人！他的人格比土耳其弯刀还要扭曲。
QuestLoc_DeathandDenial_Conversation_5_NPCStart_4	If you ask me, the killer deserves a medal. One that could complement this array, here.	它配得上我这一排勋章。
QuestLoc_DeathandDenial_Conversation_5_Team_1	Are you saying you wanted him dead?	你是说你想让他死？
QuestLoc_DeathandDenial_Conversation_5_Team_2	Turkish blade, huh? Did you know Peabody was stabbed to death?	土耳其弯刀，是吧？你知道皮博迪是被刺死的吗？
QuestLoc_DeathandDenial_Conversation_5_Team_3	What about you, Vicky? Did you see anything?	你呢，维琪？你看到什么了吗？
QuestLoc_DeathandDenial_Conversation_6_NPCEnd_1	Only when I go on a violent rampage, so...every other week, maybe?	只有当我暴跳如雷的时候，所以……也许每隔一周？
QuestLoc_DeathandDenial_Conversation_6_NPCEnd_2	Oh sure! He'd disown me, I'd thrust sharp objects at him... The usual.	哦，当然！他会和我断绝关系，我会用锋利的东西戳他……没什么大不了的。
QuestLoc_DeathandDenial_Conversation_6_NPCEnd_3	All my siblings met grisly fates, usually when playing by the cliffside.	我所有的兄弟姐妹都遭遇了可怕的命运，通常是在悬崖边玩耍的时候。
QuestLoc_DeathandDenial_Conversation_6_NPCEnd_4	I'll remember that next time I go on a violent, murderous rampage.	我将记住这一点，下一次我将进行暴力的、血腥的暴行。
QuestLoc_DeathandDenial_Conversation_6_NPCStart_1	Hello! I'm Alvin Peabody, sole heir to my father's baseball card fortune.	你好！我是阿尔文·皮博迪，我父亲棒球卡财产的唯一继承人。
QuestLoc_DeathandDenial_Conversation_6_NPCStart_2	I'm afraid I won't be of much help, I have no memory of last night.	我恐怕帮不了你的忙，我对昨晚的事已记不得了。
QuestLoc_DeathandDenial_Conversation_6_NPCStart_3	All I know is I woke up this morning with a bloody dagger in my hand.	我只知道今天早上我醒来时手里拿着一把血淋淋的匕首。
QuestLoc_DeathandDenial_Conversation_6_NPCStart_4	Father would know, I kind of remember him screaming my name.	父亲会知道的，我记得他喊叫着我的名字。
QuestLoc_DeathandDenial_Conversation_6_Team_1	Do you often suffer such memory losses?	你经常遭受这样的失忆吗？
QuestLoc_DeathandDenial_Conversation_6_Team_2	Did you get along well with your father?	你和你父亲相处得好吗？
QuestLoc_DeathandDenial_Conversation_6_Team_3	You're the only heir?	你是唯一的继承人？
QuestLoc_DeathandDenial_Conversation_6_Team_4	I must say I appreciate your candor.	我得说我很欣赏你的坦率。
QuestLoc_DeathandDenial_Conversation_7_NPCEnd_1	Not surprised, you can never trust the “nouveau riche.”	这并不奇怪，你永远不能相信“暴发户”。
QuestLoc_DeathandDenial_Conversation_7_NPCEnd_2	Huh. Who knew such a monster hid behind those thick nerdy glasses?	嗯。谁知道在那些厚实的书呆子眼镜后面竟然藏着这么一个怪物？
QuestLoc_DeathandDenial_Conversation_7_NPCEnd_3	I guess it all adds up. Here, Mr. Peabody would have wanted you to have this.	我想这一切都说明了问题。这里，皮博迪先生想让你拿到这个。
QuestLoc_DeathandDenial_Conversation_7_NPCEnd_4	Strangely enough, he's the one who sent for you. Guess he didn't think this through.	奇怪的是，是他叫你来的。我猜他没有想清楚。
QuestLoc_DeathandDenial_Conversation_7_NPCStart_1	So, did you find out who did it?	你知道是谁干的吗？
QuestLoc_DeathandDenial_Conversation_7_NPCStart_2	Was it the jealous industrialist, or the ruined matriarch?	是嫉妒的实业家，还是被毁的女家长？
QuestLoc_DeathandDenial_Conversation_7_NPCStart_3	Perhaps it was the retired soldier, or Peabody's psychotic son?	也许是退役士兵，或者是皮博迪的精神病儿子？
QuestLoc_DeathandDenial_Conversation_7_NPCStart_4	Please tell us, we all took bets.	请告诉我们，我们出过赌注了。
QuestLoc_DeathandDenial_Conversation_7_Team_1	It was Rod Murphy, the industrialist.	是实业家罗德·墨菲。
QuestLoc_DeathandDenial_Conversation_7_Team_2	Lady Worthington's attendant Agatha did it.	沃辛顿夫人的随从阿加莎干的。
QuestLoc_DeathandDenial_Conversation_7_Team_3	The Commodore is the murderer.	准将就是凶手。
QuestLoc_DeathandDenial_Conversation_7_Team_4	It's obviously his son. You didn't need me for that.	很明显是他的儿子。你不需要我告诉你这点。
QuestLoc_DeathandDenial_QuestLongDescription	Egads! We've just received word that William Peabody III, Esq., has been found murdered in his bedchambers. We must send our brightest detective and his trusty sidekick to solve this gruesome mystery!	天哪！我们刚刚得到消息，威廉·皮博迪三世先生被发现死在他的卧室里。我们必须派我们最聪明的侦探和他值得信赖的助手去解开这个可怕的谜团！
QuestLoc_DeathandDenial_QuestName	Death and Denial	死亡和否定
QuestLoc_DeathandDenial_QuestObjective_1	Solve the Murder of William Peabody.	解决威廉·皮博迪谋杀案。
QuestLoc_DeathandDenial_QuestObjective_2	Interrogate first group of suspects.	审讯第一组嫌疑犯。
QuestLoc_DeathandDenial_QuestObjective_3	Interrogate second group of suspects.	审问第二组嫌疑人。
QuestLoc_DeathandDenial_QuestShortDescription	Solve a murder mystery.	解决一个谋杀之谜。
QuestLoc_DeathandDenial_RaiderLine_1	This “manor” has seen better times...	这个“庄园”早已破落……
QuestLoc_DeathandDenial_RaiderLine_2	You just can't get good help these days.	这些天你就是找不到好帮手。
QuestLoc_DeathclawDeeLite_1_QuestLongDesc	Our new dog is acting worried. What is it, boy? You want us to follow? Maybe it's delicious food, like Cram, or Brahmin steak, or… Deathclaw meat!	我们的新狗狗看起来很担心。怎么了，小家伙？你想让我们跟着你走？也许是有什么好吃的，比如饱饱牌肉罐头，或者双头牛肉排，或者……死爪肉！
QuestLoc_DeathclawDeeLite_1_QuestName	Death Meat	死爪肉
QuestLoc_DeathclawDeeLite_1_QuestObjective1	Kill the Alpha Deathclaw	消灭首领死爪。
QuestLoc_DeathclawDeeLite_1_QuestShortDesc	Follow the dog back to Novac… what could be waiting for us there?	跟着狗狗回到诺瓦克……那里等着我们的是什么？
QuestLoc_DeathclawDeeLite_1_Question1	What are these Deathclaws doing at our motel? 	这些死爪在我们旅馆里干什么？
QuestLoc_DeathclawDeeLite_1_Question1_Answer1	Well, they're no good for business. Gotta kick em out.	嗯，它们对生意不好。得把它们赶走。
QuestLoc_DeathclawDeeLite_1_Question1_Answer2	Doesn't hurt to ask!	问问也无妨！
QuestLoc_DeathclawDeeLite_1_Question1_Answer3	Gee, that would be bad. At least let's go check their intestines for keys.	哎呀，那可糟了。至少去检查一下它们的肠子里有没有钥匙。
QuestLoc_DeathclawDeeLite_1_Question1_Choice1	Maybe they just wanted a room.	也许它们只是想订个房间。
QuestLoc_DeathclawDeeLite_1_Question1_Choice2	I wonder if they would pay rent.	不知道它们愿不愿意交房租。
QuestLoc_DeathclawDeeLite_1_Question1_Choice3	I hope they didn't eat any clients.	希望它们没有把客人吃掉。
QuestLoc_DeathclawDeeLite_1_Question2	ROOOOOAAARR!	吼嗷！
QuestLoc_DeathclawDeeLite_1_Question2_Answer1	Grawrrrarlllgr!	嘎嗷嗷！
QuestLoc_DeathclawDeeLite_1_Question2_Choice1	That'll be our Alpha. Nobody get beheaded!	那就是头头了。谁都别被砍头！
QuestLoc_DeathclawDeeLite_1_Soliloquy1	Oh, hey, a ribcage. Looks fresh. Yikes.	哦，嘿，一个肋骨架。看起来很新鲜。吓人。
QuestLoc_DeathclawDeeLite_1_Soliloquy2	This is not great for our public image as a safe place to stay.	这对我们作为安全住宿场所的公众形象非常不利。
QuestLoc_DeathclawDeeLite_2_CombatInit1	Don't interfere! We need medicine!	别妨碍我们！我们需要药！
QuestLoc_DeathclawDeeLite_2_QuestLongDesc	Something will have to be done about those Deathclaws! Apparently there's a doctor who can make a strong poison that will keep them away for good. Let's go talk to her!	必须对这些死爪采取点行动了！显然有个医生能调制一种强效毒药，可以让它们永远不再靠近。去跟她谈谈吧！
QuestLoc_DeathclawDeeLite_2_QuestName	Fetch Quest	跑腿任务
QuestLoc_DeathclawDeeLite_2_QuestObjective1	Talk to Doc	与医生交谈。
QuestLoc_DeathclawDeeLite_2_QuestShortDesc	Talk to a doctor about a Deathclaw pesticide.	和一位医生谈谈关于死爪驱虫剂的问题。
QuestLoc_DeathclawDeeLite_2_Question1	I don't know who you are… but you have to help! We're being raided!	我不认识你……但你一定要帮我们！我们被袭击了！
QuestLoc_DeathclawDeeLite_2_Question1_Answer1	Oh, thank you! Our doctor is upstairs somewhere… please hurry!	谢谢你！我们的医生在楼上某处……请快点！
QuestLoc_DeathclawDeeLite_2_Question1_Answer2	I know, right? Please do what you can! Our doctor is upstairs somewhere!	就是！请尽力而为！我们的医生在楼上某处！
QuestLoc_DeathclawDeeLite_2_Question1_Answer3	Oh, yeah, you look tough! Go get 'em!	哦，是啊，你们看起来挺强的！去给他们点颜色看看！
